b'win',b'lose',b'probability'
Miami Heat,Philadelphia 76ers,0.891957622812
San Antonio Spurs,Dallas Mavericks,0.876263536154
Washington Wizards,Phoenix Suns,0.816363975808
Atlanta Hawks,New Orleans Pelicans,0.827724665459
Chicago Bulls,Denver Nuggets,0.538520097721
Oklahoma City Thunder,Los Angeles Lakers,0.912935592168
Portland Trail Blazers,New York Knicks,0.763850823694
Boston Celtics,Brooklyn Nets,0.827988635183
San Antonio Spurs,Charlotte Hornets,0.681652917452
Cleveland Cavaliers,Portland Trail Blazers,0.693262618307
Los Angeles Clippers,Dallas Mavericks,0.564183769185
Miami Heat,Detroit Pistons,0.503839069504
Golden State Warriors,Los Angeles Lakers,0.977617442912
Toronto Raptors,Houston Rockets,0.607651248001
Indiana Pacers,Atlanta Hawks,0.532509201836
New Orleans Pelicans,Minnesota Timberwolves,0.534235092265
Orlando Magic,Phoenix Suns,0.747583361794
Memphis Grizzlies,Philadelphia 76ers,0.787763175853
Oklahoma City Thunder,Sacramento Kings,0.799290115369
Utah Jazz,Denver Nuggets,0.723855705142
San Antonio Spurs,Boston Celtics,0.676671371072
Cleveland Cavaliers,Dallas Mavericks,0.849375976646
Oklahoma City Thunder,Denver Nuggets,0.819983941037
Los Angeles Clippers,Detroit Pistons,0.559903260856
Indiana Pacers,Brooklyn Nets,0.88115486925
Golden State Warriors,Los Angeles Lakers,0.951149566913
Miami Heat,Memphis Grizzlies,0.616229104986
Toronto Raptors,Milwaukee Bucks,0.779512449536
Charlotte Hornets,New York Knicks,0.682278871042
Washington Wizards,Orlando Magic,0.517268263479
Chicago Bulls,Philadelphia 76ers,0.82055262211
Minnesota Timberwolves,Phoenix Suns,0.563337059421
Portland Trail Blazers,New Orleans Pelicans,0.767192068001
Houston Rockets,Sacramento Kings,0.563910341993
Atlanta Hawks,Utah Jazz,0.515129110772
Charlotte Hornets,New York Knicks,0.823126887544
Golden State Warriors,Minnesota Timberwolves,0.942421551385
Miami Heat,Memphis Grizzlies,0.770082359282
Oklahoma City Thunder,Detroit Pistons,0.805631716915
San Antonio Spurs,Washington Wizards,0.773768255514
Sacramento Kings,Brooklyn Nets,0.643590565457
Dallas Mavericks,New Orleans Pelicans,0.759734996551
Los Angeles Clippers,Indiana Pacers,0.509872193002
Atlanta Hawks,Los Angeles Lakers,0.836807326874
Orlando Magic,Milwaukee Bucks,0.647575235616
Cleveland Cavaliers,Philadelphia 76ers,0.952437286045
Denver Nuggets,Phoenix Suns,0.571707217984
Portland Trail Blazers,Houston Rockets,0.589600099226
Golden State Warriors,Atlanta Hawks,0.850305284256
Charlotte Hornets,Memphis Grizzlies,0.626616157447
Miami Heat,Boston Celtics,0.593473740701
Utah Jazz,Minnesota Timberwolves,0.599902580684
Oklahoma City Thunder,New York Knicks,0.816252861583
Toronto Raptors,Philadelphia 76ers,0.961709785324
Washington Wizards,Sacramento Kings,0.702035772894
